6,6822.4553,1190.6698,6248.5,6.8224553E7,746.1781227877256
9,6778.8811,1197.623,6229.0,6.7788811E7,763.6711989801018
3,6776.2381,1191.5376,6174.0,6.7762381E7,760.8567562243754
3,6803.6711,1197.5536,6146.0,6.8036711E7,757.8504394560549
6,6820.9164,1200.1963,6265.0,6.8209164E7,747.9038271172884
4,6834.4711,1197.5642,6274.0,6.8344711E7,755.3931711828799
8,6840.208,1196.9551,6180.5,6.840208E7,755.7244879512054
5,6835.029,1200.4372,6203.5,6.835029E7,742.9536409359043
6,6778.4142,1195.6187,6126.0,6.7784142E7,760.1728788121194
12,6881.9161,1197.0913,6270.0,6.8819161E7,749.907749325069
5,6766.1261,1196.0795,6114.0,6.7661261E7,759.4901986801283
5,6827.1825,1191.5746,6180.0,6.8271825E7,763.5897042295727
